Provider (From AR_Providers),,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20
Old Dominion,Pick-Up Designation,ALEXANDRIA,ANNANDALE,ARLINGTON,BURKE,CENTERVILLE,CENTREVILLE,CHANTILLY,CLIFTON,FAIRFAX,FAIRFAX STATION,FALLS CHURCH,FORT MYER,HERDON,HERNDON,LORTON,MC LEAN,OAKTON,RESTON,SPRINGFIELD,VIENNA,WOODBRIDGE
Yellow Cab,Pick-Up Designation,WASHINGTON,,,,,,,,,,,,,,,,,,,,
Action Cab,Pick-Up Designation,DERWOOD,GERMANTOWN,North BETHESDA,ROCKVILLE,,,,,,,,,,,,,,,,,
CURB,Pick-Up Designation,WASHINGTON,,,,,,,,,,,,,,,,,,,,
Silver Cab,Pick-Up Designation,CAPITOL HEIGHTS,DISTRICT HEIGHTS,GREENBELT,HYATTSVILLE,RIVERDALE,SUITLAND, ,,,,,,,,,,,,,,
Silver CAB WAV,Pick-Up Designation,CAPITOL HEIGHTS,DISTRICT HEIGHTS,HYATTSVILLE,SUITLAND,RIVERDALE,GREENBELT, ,,,,,,,,,,,,,,
Regency,Pick-Up Designation,BETHESDA,CHEVY CHASE,GAITHERSBURG,MONTGOMERY VILLAGE ,North BETHESDA,SILVER SPRING,TAKOMA PARK,,,,,,,,,,,,,,
RegencyWAV,Pick-Up Designation,BETHESDA,GAITHERSBURG,ROCKVILLE,SILVER SPRING,TAKOMA PARK,,,,,,,,,,,,,,,,
RegencyPG,Pick-Up Designation,COLLEGE PARK,GLENN DALE,HYATTSVILLE,LANHAM,LAUREL,UNIVERSITY PARK,,,,,,,,,,,,,,,
UZURV,Pick-Up Designation,ALEXANDRIA,ARLINGTON,BETHESDA,EDMONSTON,HYATTSVILLE,NEW CARROLLTON,ROCKVILLE,SILVER SPRING,WASHINGTON,,,,,,,,,,,,
Navarre Non-Dedicated,Pick-Up Designation,ALEXANDRIA,ANNANDALE,ARLINGTON,CENTREVILLE,CHANTILLY,FAIRFAX,FALLS CHURCH,HERNDON,LORTON,OAKTON,SPRINGFIELD,VIENNA,,,,,,,,,
TransitGroup,Pick-Up Designation,BETHESDA,CHEVY CHASE,GAITHERSBURG,GERMANTOWN,MONTGOMERY VILLAGE,POTOMAC,ROCKVILLE,SILVER SPRING,,,,,,,,,,,,,
WeDriveU,Pick-Up Designation,CAPITOL HEIGHTS,COLLEGE PARK,DISTRICT HEIGHTS,GREENBELT,HYATTSVILLE,RIVERDALE,SUITLAND,,,,,,,,,,,,,,
KTS Non-Dedicated,Pick-Up Designation,CAPITOL HEIGHTS,CLINTON,DISTRICT HEIGHTS,FORT WASHINGTON,OXON HILL,TEMPLE HILLS,UPPER MARLBORO, ,,,,,,,,,,,,,
WeDriveUDC,Pick-Up Designation,WASHINGTON,,,,,,,,,,,,,,,,,,,,
DMV Transport,Pick-Up Designation,HYATTSVILLE,MOUNT RAINIER,WASHINGTON,,,,,,,,,,,,,,,,,,
TransitGroupPG,Pick-Up Designation,COLLEGE PARK,GREENBELT,HYATTSVILLE,LANHAM,WASHINGTON,,,,,,,,,,,,,,,,
UZURV Non-Dedicated,Pick-Up Designation,WASHINGTON,,,,,,,,,,,,,,,,,,,,
SilverDC,Pick-Up Designation,WASHINGTON,,,,,,,,,,,,,,,,,,,,
